,Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name
7434,GE,Tamil Nadu,7,34,1980,1.0,0,3,6,VADIVAL THEVAR S.,M,IND,1485,,485422,736600.0,RAMANATHAPURAM,GEN,,8,65.9,0.31,yes,392,0.08,2.13,GETN27985,,10809,True,1,,,,,,0,False,False,False,,
7435,GE,Tamil Nadu,7,34,1980,1.0,0,3,7,MANI PANAI A.,M,IND,1093,,485422,736600.0,RAMANATHAPURAM,GEN,,8,65.9,0.23,yes,535,0.11,2.13,GETN27982,,10809,True,1,,,,,,0,False,False,False,,
7436,GE,Tamil Nadu,7,34,1980,1.0,0,3,8,MUTHUSAMY BHRATHI N.,M,JNP(S),558,,485422,736600.0,RAMANATHAPURAM,GEN,,8,65.9,0.11,yes,0,0.0,2.13,GETN272123,,15079,True,1,,,,,,0,False,False,False,,
7437,GE,Tamil Nadu,7,35,1980,1.0,0,3,1,SOURDARARAJAN N.,M,ADK,234654,,509343,756211.0,SIVAKASI,GEN,,15,67.35,46.07,no,6612,1.3,2.44,GETN27994,,930,True,1,,,,,,1,False,False,False,,
7438,GE,Tamil Nadu,7,35,1980,1.0,0,3,2,JAYALAKSHIMI V.,F,INC(I),228042,,509343,756211.0,SIVAKASI,GEN,,15,67.35,44.77,no,206885,40.62,2.44,GETN21458,,3482,True,3,INC,3482.0,SIVAKASI,True,True,2,False,True,True,,
7439,GE,Tamil Nadu,7,35,1980,1.0,0,3,3,SRIRAM R.M.,M,IND,21157,,509343,756211.0,SIVAKASI,GEN,,15,67.35,4.15,yes,8735,1.71,2.44,GETN28002,,10809,True,1,,,,,,0,False,False,False,,
7440,GE,Tamil Nadu,7,35,1980,1.0,0,3,4,RAJU S.P.,M,IND,12422,,509343,756211.0,SIVAKASI,GEN,,15,67.35,2.44,yes,9967,1.96,2.44,GETN24740,,10809,True,2,IND,10809.0,SIVAKASI,True,True,0,False,False,True,,
7441,GE,Tamil Nadu,7,35,1980,1.0,0,3,5,APPAN G.A.,M,IND,2455,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.48,yes,53,0.01,2.44,GETN27996,,10809,True,1,,,,,,0,False,False,False,,
7442,GE,Tamil Nadu,7,35,1980,1.0,0,3,6,SHENBAGAMOORTHY S.P.,M,IND,2402,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.47,yes,546,0.11,2.44,GETN27993,,10809,True,1,,,,,,0,False,False,False,,
7443,GE,Tamil Nadu,7,35,1980,1.0,0,3,7,SURIYANARAYANAN R.,M,INC(U),1856,GEN,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.36,yes,682,0.13,2.44,GETN9282,,3823,True,1,,,,,,0,False,False,False,,
7444,GE,Tamil Nadu,7,35,1980,1.0,0,3,8,ARULRAJ TTHEVVAR S.,M,IND,1174,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.23,yes,183,0.04,2.44,GETN27995,,10809,True,1,,,,,,0,False,False,False,,
7445,GE,Tamil Nadu,7,35,1980,1.0,0,3,9,JAGANATTHAN A.,M,IND,991,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.19,yes,82,0.02,2.44,GETN27992,,10809,True,1,,,,,,0,False,False,False,,
7446,GE,Tamil Nadu,7,35,1980,1.0,0,3,10,VEERAPUTHINA NADAR V.S.,M,IND,909,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.18,yes,103,0.02,2.44,GETN27991,,10809,True,1,,,,,,0,False,False,False,,
7447,GE,Tamil Nadu,7,35,1980,1.0,0,3,11,KALIPPAN K.,M,IND,806,,509343,756211.0,SIVAKASI,GEN,,15,67.35,0.16,yes,97,0.02,2.44,GETN27990,,10809,True,1,,,,,,0,False,False,False,,
